Rank,Journal Name,Abbreviated Journal,Publisher,JIF,5-Year JIF,JIF Without Self-Cites,JCI,JIF Quartile,Category,ISSN,eISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Rank
117,Molecular Plant,MOL PLANT,CELL PRESS,24.1,25.8,23.5,4.37,Q1,PLANT SCIENCES|Q1|3/265,1674-2052,1752-9867,27566,83,94,5.7,7.8,2/273
117,Nature Water,NAT WATER,SPRINGERNATURE,24.1,24.1,23.4,4.19,Q1,,N/A,2731-6084,2619,99,111,1.4,5.7,1/131
120,Nature Machine Intelligence,NAT MACH INTELL,NATURE PORTFOLIO,23.9,31.8,23.4,3.92,Q1,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS|Q1|1/169",N/A,2522-5839,15338,141,152,3.5,4.6,1/175
121,Advances in Optics and Photonics,ADV OPT PHOTONICS,Optica Publishing Group,23.8,31.5,23.6,3.37,Q1,OPTICS|Q1|3/119,1943-8206,N/A,4926,7,11,7.1,5.6,3/125
121,EnergyChem,ENERGYCHEM,ELSEVIER,23.8,25.5,23.7,3.36,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|15/438",2589-7780,2589-7780,2730,21,22,3.6,4.5,3/175
123,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,ELSEVIER SCIENCE SA,23.5,22.7,22.4,1.54,Q1,"CHEMISTRY, INORGANIC & NUCLEAR|Q1|1/44",0010-8545,1873-3840,73051,0,573,3.9,5.1,1/42
124,Light-Science & Applications,LIGHT-SCI APPL,SPRINGERNATURE,23.4,23.1,22.7,5.34,Q1,OPTICS|Q1|4/119,2095-5545,2047-7538,29813,222,241,3.7,5.7,4/125
125,JAMA Internal Medicine,JAMA INTERN MED,AMER MEDICAL ASSOC,23.3,22.3,22.7,5.93,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|7/325",2168-6106,2168-6114,26042,109,112,5.9,5.8,7/332
126,BLOOD,BLOOD,ELSEVIER,23.1,19.7,22.1,3.65,Q1,HEMATOLOGY|Q1|2/97,0006-4971,1528-0020,165822,374,435,10.8,6.9,2/98
127,Military Medical Research,MILITARY MED RES,BMC,22.9,18.5,22.1,3.10,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|9/325",2095-7467,2054-9369,5419,31,59,3.1,5.7,8/332
128,Exploration,EXPLORATION-PRC,WILEY,22.5,22.8,22.2,2.05,Q1,,2766-8509,2766-2098,4630,28,56,2.0,5.3,5/135
129,Opto-Electronic Advances,OPTO-ELECTRON ADV,"CAS, INST OPTICS & ELECTRONICS, ED OFF OPTO-ELECTRONIC JOURNALS",22.4,15.4,21.6,4.70,Q1,OPTICS|Q1|7/119,2096-4579,2097-3993,3642,50,52,2.3,4.8,5/125
130,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,ELSEVIER SCIENCE INC,22.3,24.2,21.3,5.06,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|4/220,0735-1097,1558-3597,117273,281,308,8.0,6.2,4/230
130,InfoMat,INFOMAT,WILEY,22.3,21.1,21.9,2.66,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|14/438",N/A,2567-3165,8210,75,99,3.0,4.4,17/460
132,Annual Review of Medicine,ANNU REV MED,ANNUAL REVIEWS,22.1,17.6,22.1,2.58,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|3/189",0066-4219,1545-326X,7944,0,34,8.4,5.8,2/195
133,Materials Today,MATER TODAY,ELSEVIER SCI LTD,22.0,25.3,21.8,3.63,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|16/438",1369-7021,1873-4103,32433,168,179,4.9,5.0,18/460
133,ENDOCRINE REVIEWS,ENDOCR REV,ENDOCRINE SOC,22.0,29.0,21.8,2.97,Q1,ENDOCRINOLOGY & METABOLISM|Q1|4/186,0163-769X,1945-7189,18260,0,28,10.0,10.4,4/191
135,Nature Food,NAT FOOD,NATURE PORTFOLIO,21.9,28.3,21.2,4.29,Q1,FOOD SCIENCE & TECHNOLOGY|Q1|1/173,N/A,2662-1355,10263,146,158,3.3,5.2,1/181
136,Nature Reviews Psychology,NAT REV PSYCHOL,SPRINGERNATURE,21.8,21.8,21.4,4.20,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|4/218",N/A,2731-0574,2378,2,46,2.1,8.9,2/221
136,Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,SPRINGERNATURE,21.8,16.8,20.2,3.01,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|5/140,2522-0128,2522-0136,13770,206,252,2.1,4.3,1/34
138,DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,CHURCHILL LIVINGSTONE,21.7,23.0,20.6,3.88,Q1,PHARMACOLOGY & PHARMACY|Q1|3/354,1368-7646,1532-2084,7075,97,97,4.2,5.3,2/352
139,Lancet Planetary Health,LANCET PLANET HEALTH,ELSEVIER SCI LTD,21.6,27.1,21.0,5.00,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|4/403",N/A,2542-5196,11302,76,87,3.5,5.3,4/419
140,JAMA Neurology,JAMA NEUROL,AMER MEDICAL ASSOC,21.3,22.4,21.0,6.16,Q1,CLINICAL NEUROLOGY|Q1|3/277,2168-6149,2168-6157,23513,96,106,5.1,6.4,3/285
140,Advanced Fiber Materials,ADV FIBER MATER,SPRINGERNATURE,21.3,18.3,20.1,3.83,Q1,"MATERIALS SCIENCE, TEXTILES|Q1|1/29",2524-7921,2524-793X,6644,122,135,2.3,3.9,1/31
140,SusMat,SUSMAT,WILEY,21.3,21.7,20.6,2.62,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|20/438",2766-8479,2692-4552,3288,44,69,2.2,3.7,2/102
140,International Journal of Extreme Manufacturing,INT J EXTREME MANUF,IOP Publishing Ltd,21.3,18.5,18.8,2.33,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|26/438",2631-8644,2631-7990,4738,51,106,1.9,5.3,1/71
144,INTENSIVE CARE MEDICINE,INTENS CARE MED,SPRINGER,21.2,25.7,19.5,4.82,Q1,CRITICAL CARE MEDICINE|Q1|2/54,0342-4642,1432-1238,30481,99,133,7.5,5.4,2/62
145,Science Bulletin,SCI BULL,ELSEVIER,21.1,17.6,20.5,2.95,Q1,MULTIDISCIPLINARY SCIENCES|Q1|6/134,2095-9273,2095-9281,22137,225,250,3.5,5.0,6/135
145,Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,ELSEVIER,21.1,20.2,19.9,2.88,Q1,"ENGINEERING, ENVIRONMENTAL|Q1|1/81",0926-3373,1873-3883,181789,1131,1133,4.5,3.9,1/83
147,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,EUROPEAN RESPIRATORY SOC JOURNALS LTD,21.0,18.9,19.8,4.52,Q1,RESPIRATORY SYSTEM|Q1|4/100,0903-1936,1399-3003,54382,169,174,7.7,5.9,2/108
148,AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",20.8,14.7,13.7,5.56,Q1,"SOCIAL SCIENCES, BIOMEDICAL|Q1|1/46",1526-5161,1536-0075,3984,37,37,4.6,4.7,1/77
148,Nature Metabolism,NAT METAB,NATURE PORTFOLIO,20.8,23.2,20.4,5.01,Q1,ENDOCRINOLOGY & METABOLISM|Q1|5/186,N/A,2522-5812,13659,176,194,3.3,7.6,5/191
148,Journal of Thoracic Oncology,J THORAC ONCOL,ELSEVIER SCIENCE INC,20.8,18.4,20.1,4.24,Q1,RESPIRATORY SYSTEM|Q1|2/100,1556-0864,1556-1380,27302,92,100,6.3,5.3,3/108
148,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,CELL PRESS,20.8,21.3,20.4,1.99,Q1,PLANT SCIENCES|Q1|2/265,1360-1385,1878-4372,32426,36,86,9.9,5.9,3/273
152,Annual Review of Public Health,ANNU REV PUBL HEALTH,ANNUAL REVIEWS,20.7,28.4,20.5,3.65,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|5/403",0163-7525,1545-2093,11889,0,27,8.9,5.7,5/419
152,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,IOP Publishing Ltd,20.7,20.9,20.6,1.98,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|4/110",0034-4885,1361-6633,23580,34,74,10.8,9.2,4/114
154,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,ELSEVIER,20.6,18.6,19.9,5.09,Q1,RHEUMATOLOGY|Q1|2/57,0003-4967,1468-2060,53850,139,153,8.6,6.5,2/58
155,Annual Review of Biochemistry,ANNU REV BIOCHEM,ANNUAL REVIEWS,20.5,24.9,20.4,1.72,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q1|14/313,0066-4154,1545-4509,21076,0,22,14.1,8.6,6/319
156,Cell Stem Cell,CELL STEM CELL,CELL PRESS,20.4,21.8,19.8,4.12,Q1,CELL BIOLOGY|Q1|8/205,1934-5909,1875-9777,31315,93,105,7.0,7.2,1/32
156,Lancet Microbe,LANCET MICROBE,ELSEVIER,20.4,19.8,20.1,3.98,Q1,MICROBIOLOGY|Q1|3/161,N/A,2666-5247,5767,97,111,2.3,5.6,2/137
156,Environmental Chemistry Letters,ENVIRON CHEM LETT,SPRINGER HEIDELBERG,20.4,18.9,19.5,1.37,Q1,ENVIRONMENTAL SCIENCES|Q1|8/358,1610-3653,1610-3661,21027,30,117,4.0,5.0,7/374
159,Bioactive Materials,BIOACT MATER,KEAI PUBLISHING LTD,20.3,20.5,19.5,4.01,Q1,"MATERIALS SCIENCE, BIOMATERIALS|Q1|1/53",N/A,2452-199X,31698,360,426,2.5,5.4,3/124
160,Nature Chemistry,NAT CHEM,NATURE PORTFOLIO,20.2,22.6,20.0,3.32,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|7/230",1755-4330,1755-4349,48186,263,269,7.3,7.7,10/239
160,Energy Storage Materials,ENERGY STORAGE MATER,ELSEVIER,20.2,20.2,18.8,2.95,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|8/140,2405-8297,2405-8289,63242,797,803,3.3,3.8,22/460
162,JAMA Oncology,JAMA ONCOL,AMER MEDICAL ASSOC,20.1,24.7,19.7,4.53,Q1,ONCOLOGY|Q1|12/322,2374-2437,2374-2445,29807,122,135,5.0,5.8,14/326
163,NATURE NEUROSCIENCE,NAT NEUROSCI,NATURE PORTFOLIO,20.0,24.8,19.5,5.65,Q1,NEUROSCIENCES|Q1|4/310,1097-6256,1546-1726,71254,210,220,9.2,8.1,2/314
163,Nature Synthesis,NAT SYNTH,SPRINGERNATURE,20.0,20.0,19.6,2.79,Q1,"CHEMISTRY, MULTIDISCIPLINARY|N/A|N/A",N/A,2731-0582,5147,182,194,1.7,5.8,11/239
165,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,CELL PRESS,19.9,16.8,19.8,2.20,Q1,PHARMACOLOGY & PHARMACY|Q1|6/354,0165-6147,1873-3735,15305,16,71,7.7,3.9,3/352
166,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,AMER PSYCHOLOGICAL ASSOC,19.8,28.5,19.5,4.12,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|3/218",0033-2909,1939-1455,59903,29,43,23.2,10.6,3/221
166,Cellular & Molecular Immunology,CELL MOL IMMUNOL,CHIN SOCIETY IMMUNOLOGY,19.8,22.6,19.7,2.74,Q1,IMMUNOLOGY|Q1|5/181,1672-7681,2042-0226,16944,68,90,4.3,7.2,5/183
168,Chem,CHEM-US,CELL PRESS,19.6,23.4,19.4,2.60,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|8/230",2451-9294,2451-9294,29818,167,201,4.4,5.9,12/239
169,Nature Microbiology,NAT MICROBIOL,NATURE PORTFOLIO,19.4,20.7,19.0,4.83,Q1,MICROBIOLOGY|Q1|5/161,2058-5276,2058-5276,26762,265,283,4.9,7.4,4/163
169,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,AMER THORACIC SOC,19.4,20.0,17.8,4.35,Q1,RESPIRATORY SYSTEM|Q1|3/100,1073-449X,1535-4970,67431,176,182,9.8,5.9,4/108
169,Nature Aging,NATURE AGING,SPRINGERNATURE,19.4,21.9,18.8,4.21,Q1,NEUROSCIENCES|Q1|5/310,N/A,2662-8465,6408,107,117,2.5,6.3,1/73
172,ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,ELSEVIER,19.3,19.5,18.9,1.99,Q1,"CHEMISTRY, PHYSICAL|Q1|13/178",0001-8686,1873-3727,29641,170,209,5.7,5.7,11/185
172,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,AMER SOC MICROBIOLOGY,19.3,33.3,19.1,1.99,Q1,MICROBIOLOGY|Q1|6/161,0893-8512,1098-6618,24250,0,56,12.0,7.9,5/163
174,IEEE-CAA Journal of Automatica Sinica,IEEE-CAA J AUTOMATIC,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,19.2,13.1,17.6,2.92,Q1,AUTOMATION & CONTROL SYSTEMS|Q1|1/84,2329-9266,2329-9274,11485,201,205,2.9,5.0,1/89
175,PhotoniX,PHOTONIX,SPRINGERNATURE,19.1,19.3,18.5,4.29,Q1,OPTICS|Q1|6/119,N/A,2662-1991,2273,38,42,2.6,6.0,6/125
175,NATURE CELL BIOLOGY,NAT CELL BIOL,NATURE PORTFOLIO,19.1,22.6,18.8,3.04,Q1,CELL BIOLOGY|Q1|9/205,1465-7392,1476-4679,47872,192,205,9.4,7.5,10/204
175,Annual Review of Physiology,ANNU REV PHYSIOL,ANNUAL REVIEWS,19.1,24.9,19.0,3.02,Q1,PHYSIOLOGY|Q1|2/85,0066-4278,1545-1585,12066,0,21,10.7,9.6,2/87
178,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,19.0,19.4,17.7,2.70,Q1,"PHYSICS, CONDENSED MATTER|Q1|5/79",1616-301X,1616-3028,320706,4587,4996,3.7,4.3,9/187
179,Annual Review of Marine Science,ANNU REV MAR SCI,ANNUAL REVIEWS,18.9,18.9,18.6,2.91,Q1,OCEANOGRAPHY|Q1|1/65,1941-1405,1941-0611,6987,0,23,9.1,8.9,1/119
180,Advanced Photonics,ADV PHOTONICS,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,18.8,17.0,18.5,3.88,Q1,OPTICS|Q1|4/119,N/A,2577-5421,3573,43,48,3.0,5.6,7/125
180,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,ELSEVIER SCI LTD,18.8,15.8,17.7,3.27,Q1,"ENGINEERING, MECHANICAL|Q1|2/180",0890-6955,1879-2170,17904,47,49,11.2,5.6,2/182
182,Cell Host & Microbe,CELL HOST MICROBE,CELL PRESS,18.7,20.5,18.3,5.75,Q1,VIROLOGY|Q1|1/41,1931-3128,1934-6069,32505,129,142,6.6,6.4,1/47
183,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,IEEE COMPUTER SOC,18.6,20.4,18.0,4.66,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|3/352",0162-8828,1939-3539,98199,726,732,5.1,5.3,3/366
184,Nature Physics,NAT PHYS,NATURE PORTFOLIO,18.4,21.2,18.0,4.77,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|5/110",1745-2473,1745-2481,56613,336,350,7.4,7.6,5/114
185,Computational Visual Media,COMPUT VIS MEDIA,TSINGHUA UNIV PRESS,18.3,12.9,17.8,3.76,Q1,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q1|1/131",2096-0433,2096-0662,2600,62,67,2.7,5.7,1/128
185,Nature Computational Science,NAT COMPUT SCI,SPRINGERNATURE,18.3,17.6,17.9,3.23,Q1,MULTIDISCIPLINARY SCIENCES|Q1|9/134,N/A,2662-8457,4046,64,79,2.5,5.1,2/175
187,ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,18.2,20.5,17.4,2.71,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|7/140,2380-8195,2380-8195,65875,587,667,3.9,4.4,8/182
188,Cyborg and Bionic Systems,CYBORG BIONIC SYST,AMER ASSOC ADVANCEMENT SCIENCE,18.1,14.9,17.2,2.51,Q1,ROBOTICS|Q1|3/46,N/A,2692-7632,1650,56,65,1.9,5.2,4/124
188,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,CELL PRESS,18.1,20.1,18.0,1.45,Q1,CELL BIOLOGY|Q1|17/205,0962-8924,1879-3088,20144,17,73,7.4,6.4,11/204
190,JAMA Pediatrics,JAMA PEDIATR,AMER MEDICAL ASSOC,18.0,19.5,17.5,7.35,Q1,PEDIATRICS|Q1|1/186,2168-6203,2168-6211,19417,96,100,5.2,6.5,1/191
190,Lancet Global Health,LANCET GLOB HEALTH,ELSEVIER SCI LTD,18.0,23.5,17.8,5.55,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|6/403",2214-109X,2214-109X,25472,147,159,4.8,5.3,6/419
192,Nano Materials Science,NANO MATER SCI,KEAI PUBLISHING LTD,17.9,15.8,17.2,2.58,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|17/140,2096-6482,2589-9651,3112,61,63,2.5,5.8,25/460
192,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,ELSEVIER,17.9,14.1,17.7,1.74,Q1,"PHYSICS, PARTICLES & FIELDS|Q1|2/30",0146-6410,1873-2224,6418,1,20,7.4,11.7,1/22
194,Lancet Haematology,LANCET HAEMATOL,ELSEVIER SCI LTD,17.7,16.7,17.3,4.18,Q1,HEMATOLOGY|Q1|4/97,2352-3026,N/A,7814,55,66,4.0,5.4,3/98
194,Chinese Journal of Catalysis,CHINESE J CATAL,ELSEVIER,17.7,13.6,16.8,2.39,Q1,"ENGINEERING, CHEMICAL|Q1|5/170",0253-9837,1872-2067,20613,194,232,3.5,3.9,1/75
194,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,AMER CHEMICAL SOC,17.7,19.9,17.6,1.21,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|12/230",0001-4842,1520-4898,87302,0,275,7.9,6.3,14/239
197,Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,SAGE PUBLICATIONS LTD,17.6,41.8,17.1,5.68,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|2/218",1529-1006,1539-6053,3043,2,2,9.3,8.7,4/221
197,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,ELSEVIER,17.6,19.2,17.1,2.31,Q1,PHARMACOLOGY & PHARMACY|Q1|4/354,0169-409X,1872-8294,50670,0,111,7.9,5.8,4/352
197,Eco-Environment & Health,ECO-ENVIRON HEALTH,ELSEVIER,17.6,17.6,17.2,2.15,Q1,,N/A,2772-9850,1015,35,53,2.1,5.8,8/374
200,Molecular Neurodegeneration,MOL NEURODEGENER,BMC,17.5,19.3,17.1,3.30,Q1,NEUROSCIENCES|Q1|8/310,N/A,1750-1326,11362,62,80,5.4,6.9,4/314
200,Matter,MATTER-US,CELL PRESS,17.5,19.2,17.2,2.36,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|22/438",2590-2393,2590-2385,18183,167,217,3.2,5.2,26/460
200,Trends in Cancer,TRENDS CANCER,CELL PRESS,17.5,18.7,17.4,2.15,Q1,ONCOLOGY|Q1|17/322,2405-8033,2405-8025,9356,0,72,4.4,4.9,15/326
203,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,KARGER,17.4,16.9,15.1,2.75,Q1,PSYCHOLOGY|Q1|4/92,0033-3190,1423-0348,6466,24,27,8.9,7.5,3/288
204,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,CENTERS DISEASE CONTROL & PREVENTION,17.3,14.1,17.0,7.02,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|2/403",0149-2195,1545-861X,30057,203,203,4.4,2.9,7/419
204,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,ELSEVIER,17.3,21.8,17.2,2.80,Q1,PHARMACOLOGY & PHARMACY|Q1|2/354,0031-6997,1521-0081,12523,0,2,10.9,14.3,5/352
204,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,17.3,18.7,16.9,2.13,Q1,GENETICS & HEREDITY|Q1|3/191,0169-5347,1872-8383,39765,47,84,14.5,6.3,1/200
207,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,17.2,17.4,16.8,3.80,Q1,TELECOMMUNICATIONS|Q1|2/119,0733-8716,1558-0008,30768,242,242,4.3,4.5,4/366
207,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,CELL PRESS,17.2,21.8,16.8,2.02,Q1,"PSYCHOLOGY, EXPERIMENTAL|Q1|2/99",1364-6613,1879-307X,34805,33,72,12.0,7.0,1/102
209,STUDIES IN MYCOLOGY,STUD MYCOL,WESTERDIJK FUNGAL BIODIVERSITY INST,17.1,22.2,16.5,4.82,Q1,MYCOLOGY|Q1|2/33,0166-0616,1872-9797,5114,13,14,10.3,12.5,2/32
209,JAMA Psychiatry,JAMA PSYCHIAT,AMER MEDICAL ASSOC,17.1,21.8,16.6,4.42,Q1,PSYCHIATRY|Q1|3/276,2168-622X,2168-6238,24360,110,116,5.6,7.3,4/288
209,National Science Review,NATL SCI REV,OXFORD UNIV PRESS,17.1,17.7,16.7,3.03,Q1,MULTIDISCIPLINARY SCIENCES|Q1|7/134,2095-5138,2053-714X,19541,217,260,3.4,5.6,8/135
209,Nano Energy,NANO ENERGY,ELSEVIER,17.1,16.9,15.9,2.65,Q1,"PHYSICS, APPLIED|Q1|10/179",2211-2855,2211-3282,129552,1078,1231,4.0,4.0,10/187
213,eTransportation,ETRANSPORTATION,ELSEVIER,17.0,17.4,15.8,2.73,Q1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q1|1/72,2590-1168,2590-1168,4432,72,76,2.8,4.4,1/77
214,Clinical and Molecular Hepatology,CLIN MOL HEPATOL,KOREAN ASSOC STUDY LIVER,16.9,12.0,15.8,3.13,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|6/143,2287-2728,2287-285X,4160,43,58,2.4,5.1,6/147
214,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,WILEY-V C H VERLAG GMBH,16.9,16.4,15.4,2.73,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|13/230",N/A,1521-3773,529353,4564,4739,5.1,5.1,15/239
216,International Journal of Educational Technology in Higher Education,INT J EDUC TECHNOL H,SPRINGER,16.7,15.5,16.1,6.81,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|4/756,2365-9440,2365-9440,5663,54,60,3.6,4.9,1/756
216,Annual Review of Entomology,ANNU REV ENTOMOL,ANNUAL REVIEWS,16.7,20.7,16.6,3.32,Q1,ENTOMOLOGY|Q1|1/109,0066-4170,1545-4487,15115,0,27,14.7,10.2,1/110
218,DIABETES CARE,DIABETES CARE,AMER DIABETES ASSOC,16.6,14.5,16.1,4.44,Q1,ENDOCRINOLOGY & METABOLISM|Q1|6/186,0149-5992,1935-5548,77907,225,272,9.7,6.7,6/191
218,Journal of Advanced Ceramics,J ADV CERAM,TSINGHUA UNIV PRESS,16.6,15.6,15.1,3.54,Q1,"MATERIALS SCIENCE, CERAMICS|Q1|1/31",2226-4108,2227-8508,9879,168,174,2.8,5.3,1/33
218,Molecular Cell,MOL CELL,CELL PRESS,16.6,17.7,15.9,2.71,Q1,CELL BIOLOGY|Q1|14/205,1097-2765,1097-4164,84919,271,298,8.5,7.8,7/319
218,CANCER RESEARCH,CANCER RES,AMER ASSOC CANCER RESEARCH,16.6,13.4,16.5,2.34,Q1,ONCOLOGY|Q1|20/322,0008-5472,1538-7445,118866,251,268,12.5,6.6,16/326
222,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,ANNUAL REVIEWS,16.5,24.3,16.3,6.24,Q1,"PSYCHOLOGY, CLINICAL|Q1|1/180",1548-5943,1548-5951,10094,0,19,10.6,8.2,1/185
222,Academy of Management Annals,ACAD MANAG ANN,ACAD MANAGEMENT,16.5,26.9,15.8,3.06,Q1,MANAGEMENT|Q1|3/401,1941-6520,1941-6067,10376,20,21,7.9,9.8,1/316
224,Lancet Rheumatology,LANCET RHEUMATOL,ELSEVIER,16.4,14.6,16.1,4.46,Q1,RHEUMATOLOGY|Q1|3/57,2665-9913,2665-9913,4069,68,74,2.8,5.4,3/58
224,IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,16.4,19.1,15.5,3.01,Q1,REMOTE SENSING|Q1|1/62,2473-2397,2168-6831,5100,59,62,5.0,4.7,1/65
224,Journal of the National Comprehensive Cancer Network,J NATL COMPR CANC NE,HARBORSIDE PRESS,16.4,13.2,16.3,2.91,Q1,ONCOLOGY|Q1|16/322,1540-1405,1540-1413,14793,127,141,3.9,7.8,17/326
224,Green Energy and Intelligent Transportation,GREEN ENERGY INTELL,ELSEVIER,16.4,16.4,15.6,2.42,Q1,,2097-2512,2773-1537,1323,35,42,1.9,5.1,2/77
228,Science Immunology,SCI IMMUNOL,AMER ASSOC ADVANCEMENT SCIENCE,16.3,17.7,16.1,3.81,Q1,IMMUNOLOGY|Q1|6/181,2470-9468,2470-9468,13743,127,131,3.7,7.8,6/183
228,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,PERGAMON-ELSEVIER SCIENCE LTD,16.3,17.5,15.7,2.03,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|3/91,1364-0321,1879-0690,184911,646,845,6.5,5.5,3/102
228,TRENDS IN GENETICS,TRENDS GENET,CELL PRESS,16.3,13.7,16.1,1.97,Q1,GENETICS & HEREDITY|Q1|4/191,0168-9525,1362-4555,14613,15,72,9.4,6.2,4/191
231,BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,BMJ PUBLISHING GROUP,16.2,17.8,14.8,4.36,Q1,SPORT SCIENCES|Q1|1/127,0306-3674,1473-0480,36082,153,177,7.5,6.4,1/133
231,CIRCULATION RESEARCH,CIRC RES,LIPPINCOTT WILLIAMS & WILKINS,16.2,20.8,15.9,4.12,Q1,PERIPHERAL VASCULAR DISEASE|Q1|2/96,0009-7330,1524-4571,64140,119,177,8.7,8.2,2/98
231,PROGRESS IN AEROSPACE SCIENCES,PROG AEROSP SCI,PERGAMON-ELSEVIER SCIENCE LTD,16.2,17.1,15.7,1.49,Q1,"ENGINEERING, AEROSPACE|Q1|1/52",0376-0421,1873-1724,8907,0,36,8.1,8.0,1/55
234,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,OXFORD UNIV PRESS,16.1,17.9,15.8,4.28,Q1,REPRODUCTIVE BIOLOGY|Q1|1/39,1355-4786,1460-2369,13393,1,30,9.5,7.4,1/140
